title,summary,pdf_url,arxiv_link
Poisson approximate likelihood compared to the particle filter,"Filtering algorithms are fundamental for inference on partially observed
stochastic dynamic systems, since they provide access to the likelihood
function and hence enable likelihood-based or Bayesian inference. A novel
Poisson approximate likelihood (PAL) filter was introduced by Whitehouse et al.
(2023). PAL employs a Poisson approximation to conditional densities, offering
a fast approximation to the likelihood function for a certain subset of
partially observed Markov process models. A central piece of evidence for PAL
is the comparison in Table 1 of Whitehouse et al. (2023), which claims a large
improvement for PAL over a standard particle filter algorithm. This evidence,
based on a model and data from a previous scientific study by Stocks et al.
(2020), might suggest that researchers confronted with similar models should
use PAL rather than particle filter methods. Taken at face value, this evidence
also reduces the credibility of Stocks et al. (2020) by indicating a
shortcoming with the numerical methods that they used. However, we show that
the comparison of log-likelihood values made by Whitehouse et al. (2023) is
flawed because their PAL calculations were carried out using a dataset scaled
differently from the previous study. If PAL and the particle filter are applied
to the same data, the advantage claimed for PAL disappears. On simulations
where the model is correctly specified, the particle filter outperforms PAL.",http://arxiv.org/pdf/2409.12173v1,http://arxiv.org/abs/2409.12173v1
You Only Read Once (YORO): Learning to Internalize Database Knowledge for Text-to-SQL,"While significant progress has been made on the text-to-SQL task, recent
solutions repeatedly encode the same database schema for every question,
resulting in unnecessary high inference cost and often overlooking crucial
database knowledge. To address these issues, we propose You Only Read Once
(YORO), a novel paradigm that directly internalizes database knowledge into the
parametric knowledge of a text-to-SQL model during training and eliminates the
need for schema encoding during inference. YORO significantly reduces the input
token length by 66%-98%. Despite its shorter inputs, our empirical results
demonstrate YORO's competitive performances with traditional systems on three
benchmarks as well as its significant outperformance on large databases.
Furthermore, YORO excels in handling questions with challenging value
retrievals such as abbreviation.",http://arxiv.org/pdf/2409.12172v1,http://arxiv.org/abs/2409.12172v1
multiPI-TransBTS: A Multi-Path Learning Framework for Brain Tumor Image Segmentation Based on Multi-Physical Information,"Brain Tumor Segmentation (BraTS) plays a critical role in clinical diagnosis,
treatment planning, and monitoring the progression of brain tumors. However,
due to the variability in tumor appearance, size, and intensity across
different MRI modalities, automated segmentation remains a challenging task. In
this study, we propose a novel Transformer-based framework, multiPI-TransBTS,
which integrates multi-physical information to enhance segmentation accuracy.
The model leverages spatial information, semantic information, and multi-modal
imaging data, addressing the inherent heterogeneity in brain tumor
characteristics. The multiPI-TransBTS framework consists of an encoder, an
Adaptive Feature Fusion (AFF) module, and a multi-source, multi-scale feature
decoder. The encoder incorporates a multi-branch architecture to separately
extract modality-specific features from different MRI sequences. The AFF module
fuses information from multiple sources using channel-wise and element-wise
attention, ensuring effective feature recalibration. The decoder combines both
common and task-specific features through a Task-Specific Feature Introduction
(TSFI) strategy, producing accurate segmentation outputs for Whole Tumor (WT),
Tumor Core (TC), and Enhancing Tumor (ET) regions. Comprehensive evaluations on
the BraTS2019 and BraTS2020 datasets demonstrate the superiority of
multiPI-TransBTS over the state-of-the-art methods. The model consistently
achieves better Dice coefficients, Hausdorff distances, and Sensitivity scores,
highlighting its effectiveness in addressing the BraTS challenges. Our results
also indicate the need for further exploration of the balance between precision
and recall in the ET segmentation task. The proposed framework represents a
significant advancement in BraTS, with potential implications for improving
clinical outcomes for brain tumor patients.",http://arxiv.org/pdf/2409.12167v1,http://arxiv.org/abs/2409.12167v1
Synchrotron self-Compton in a radiative-adiabatic fireball scenario: Modelling the multiwavelength observations in some Fermi/LAT bursts,"Energetic GeV photons expected from the closest and the most energetic
Gamma-ray bursts (GRBs) provide an unique opportunity to study the
very-high-energy emission as well as the possible correlations with lower
energy bands in realistic GRB afterglow models. In the standard GRB afterglow
model, the relativistic homogeneous shock is usually considered to be fully
adiabatic, however, it could be partially radiative. Based on the external
forward-shock scenario in both stellar wind and constant-density medium. We
present a radiative-adiabatic analytical model of the synchrotron self-Compton
(SSC) and synchrotron processes considering an electron energy distribution
with a power-law index of 1 < p < 2 and 2 $\leq$ p. We show that the SSC
scenario plays a relevant role in the radiative parameter $\epsilon$, leading
to a prolonged evolution during the slow cooling regime. In a particular case,
we derive the Fermi/LAT light curves together with the photons with energies
$\geq$ 100 MeV in a sample of nine bursts from the second Fermi/LAT GRB catalog
that exhibited temporal and spectral indices with $\geq$ 1.5 and $\approx$ 2,
respectively. These events can hardly be described with closure relations of
the standard synchrotron afterglow model, and also exhibit energetic photons
above the synchrotron limit. We have modeled the multi-wavelength observations
of our sample to constrain the microphysical parameters, the circumburst
density, the bulk Lorentz factor and the mechanism responsible for explaining
the energetic GeV photons.",http://arxiv.org/pdf/2409.12166v1,http://arxiv.org/abs/2409.12166v1
Blind Deconvolution on Graphs: Exact and Stable Recovery,"We study a blind deconvolution problem on graphs, which arises in the context
of localizing a few sources that diffuse over networks. While the observations
are bilinear functions of the unknown graph filter coefficients and sparse
input signals, a mild requirement on invertibility of the diffusion filter
enables an efficient convex relaxation leading to a linear programming
formulation that can be tackled with off-the-shelf solvers. Under the
Bernoulli-Gaussian model for the inputs, we derive sufficient exact recovery
conditions in the noise-free setting. A stable recovery result is then
established, ensuring the estimation error remains manageable even when the
observations are corrupted by a small amount of noise. Numerical tests with
synthetic and real-world network data illustrate the merits of the proposed
algorithm, its robustness to noise as well as the benefits of leveraging
multiple signals to aid the (blind) localization of sources of diffusion. At a
fundamental level, the results presented here broaden the scope of classical
blind deconvolution of (spatio-)temporal signals to irregular graph domains.",http://arxiv.org/pdf/2409.12164v1,http://arxiv.org/abs/2409.12164v1
Identifying inflated Fermi surfaces via thermoelectric response in $d$-wave superconductor heterostructure,"We theoretically investigate the thermoelectric response of inflated Fermi
surfaces (IFSs) generated in a two dimensional unconventional $d$-wave
superconductor subjected to an external in-plane Zeeman field. These IFSs
exhibiting the same dimension as the underlying normal state Fermi surface are
topologically protected by combinations of discrete symmetries. Utilizing the
Blonder-Tinkham-Klapwijk formalism and considering normal-$d$-wave
superconductor hybrid junction, we compute the thermoelectric coefficients
including thermal conductance, Seebeck coefficient, figure of merit ($zT$), and
examine the validation of Widemann-Franz law in the presence of both voltage
and temperature bias. Importantly, as a signature of anisotropic nature of
$d$-wave pairing, Andreev bound states (ABSs) formed at the
normal-superconductor interface play a significant role in the thermoelectric
response. In the presence of ABSs, we observe a substantial enhancement in
Seebeck coefficient ($\sim 200\,\mu$V/K) and $zT$ ($\sim 3.5$) due to the
generation of the IFSs and thus making such setup a potential candidate for
device applications. Finally, we strengthen our continuum model results by
computing the thermoelectric coefficients based on a lattice-regularized
version of our continuum model.",http://arxiv.org/pdf/2409.12157v1,http://arxiv.org/abs/2409.12157v1
Autopet III challenge: Incorporating anatomical knowledge into nnUNet for lesion segmentation in PET/CT,"Lesion segmentation in PET/CT imaging is essential for precise tumor
characterization, which supports personalized treatment planning and enhances
diagnostic precision in oncology. However, accurate manual segmentation of
lesions is time-consuming and prone to inter-observer variability. Given the
rising demand and clinical use of PET/CT, automated segmentation methods,
particularly deep-learning-based approaches, have become increasingly more
relevant. The autoPET III Challenge focuses on advancing automated segmentation
of tumor lesions in PET/CT images in a multitracer multicenter setting,
addressing the clinical need for quantitative, robust, and generalizable
solutions. Building on previous challenges, the third iteration of the autoPET
challenge introduces a more diverse dataset featuring two different tracers
(FDG and PSMA) from two clinical centers. To this extent, we developed a
classifier that identifies the tracer of the given PET/CT based on the Maximum
Intensity Projection of the PET scan. We trained two individual
nnUNet-ensembles for each tracer where anatomical labels are included as a
multi-label task to enhance the model's performance. Our final submission
achieves cross-validation Dice scores of 76.90% and 61.33% for the publicly
available FDG and PSMA datasets, respectively. The code is available at
https://github.com/hakal104/autoPETIII/ .",http://arxiv.org/pdf/2409.12155v1,http://arxiv.org/abs/2409.12155v1
Robots that Learn to Safely Influence via Prediction-Informed Reach-Avoid Dynamic Games,"Robots can influence people to accomplish their tasks more efficiently:
autonomous cars can inch forward at an intersection to pass through, and
tabletop manipulators can go for an object on the table first. However, a
robot's ability to influence can also compromise the safety of nearby people if
naively executed. In this work, we pose and solve a novel robust reach-avoid
dynamic game which enables robots to be maximally influential, but only when a
safety backup control exists. On the human side, we model the human's behavior
as goal-driven but conditioned on the robot's plan, enabling us to capture
influence. On the robot side, we solve the dynamic game in the joint physical
and belief space, enabling the robot to reason about how its uncertainty in
human behavior will evolve over time. We instantiate our method, called SLIDE
(Safely Leveraging Influence in Dynamic Environments), in a high-dimensional
(39-D) simulated human-robot collaborative manipulation task solved via offline
game-theoretic reinforcement learning. We compare our approach to a robust
baseline that treats the human as a worst-case adversary, a safety controller
that does not explicitly reason about influence, and an energy-function-based
safety shield. We find that SLIDE consistently enables the robot to leverage
the influence it has on the human when it is safe to do so, ultimately allowing
the robot to be less conservative while still ensuring a high safety rate
during task execution.",http://arxiv.org/pdf/2409.12153v1,http://arxiv.org/abs/2409.12153v1
Decoding Style: Efficient Fine-Tuning of LLMs for Image-Guided Outfit Recommendation with Preference,"Personalized outfit recommendation remains a complex challenge, demanding
both fashion compatibility understanding and trend awareness. This paper
presents a novel framework that harnesses the expressive power of large
language models (LLMs) for this task, mitigating their ""black box"" and static
nature through fine-tuning and direct feedback integration. We bridge the item
visual-textual gap in items descriptions by employing image captioning with a
Multimodal Large Language Model (MLLM). This enables the LLM to extract style
and color characteristics from human-curated fashion images, forming the basis
for personalized recommendations. The LLM is efficiently fine-tuned on the
open-source Polyvore dataset of curated fashion images, optimizing its ability
to recommend stylish outfits. A direct preference mechanism using negative
examples is employed to enhance the LLM's decision-making process. This creates
a self-enhancing AI feedback loop that continuously refines recommendations in
line with seasonal fashion trends. Our framework is evaluated on the Polyvore
dataset, demonstrating its effectiveness in two key tasks: fill-in-the-blank,
and complementary item retrieval. These evaluations underline the framework's
ability to generate stylish, trend-aligned outfit suggestions, continuously
improving through direct feedback. The evaluation results demonstrated that our
proposed framework significantly outperforms the base LLM, creating more
cohesive outfits. The improved performance in these tasks underscores the
proposed framework's potential to enhance the shopping experience with accurate
suggestions, proving its effectiveness over the vanilla LLM based outfit
generation.",http://arxiv.org/pdf/2409.12150v1,http://arxiv.org/abs/2409.12150v1
"MAgICoRe: Multi-Agent, Iterative, Coarse-to-Fine Refinement for Reasoning","Large Language Models' (LLM) reasoning can be improved using test-time
aggregation strategies, i.e., generating multiple samples and voting among
generated samples. While these improve performance, they often reach a
saturation point. Refinement offers an alternative by using LLM-generated
feedback to improve solution quality. However, refinement introduces 3 key
challenges: (1) Excessive refinement: Uniformly refining all instances can
over-correct and reduce the overall performance. (2) Inability to localize and
address errors: LLMs have a limited ability to self-correct and struggle to
identify and correct their own mistakes. (3) Insufficient refinement: Deciding
how many iterations of refinement are needed is non-trivial, and stopping too
soon could leave errors unaddressed. To tackle these issues, we propose
MAgICoRe, which avoids excessive refinement by categorizing problem difficulty
as easy or hard, solving easy problems with coarse-grained aggregation and hard
ones with fine-grained and iterative multi-agent refinement. To improve error
localization, we incorporate external step-wise reward model (RM) scores.
Moreover, to ensure effective refinement, we employ a multi-agent loop with
three agents: Solver, Reviewer (which generates targeted feedback based on
step-wise RM scores), and the Refiner (which incorporates feedback). To ensure
sufficient refinement, we re-evaluate updated solutions, iteratively initiating
further rounds of refinement. We evaluate MAgICoRe on Llama-3-8B and GPT-3.5
and show its effectiveness across 5 math datasets. Even one iteration of
MAgICoRe beats Self-Consistency by 3.4%, Best-of-k by 3.2%, and Self-Refine by
4.0% while using less than half the samples. Unlike iterative refinement with
baselines, MAgICoRe continues to improve with more iterations. Finally, our
ablations highlight the importance of MAgICoRe's RMs and multi-agent
communication.",http://arxiv.org/pdf/2409.12147v1,http://arxiv.org/abs/2409.12147v1
Lempel-Ziv (LZ77) Factorization in Sublinear Time,"Lempel-Ziv (LZ77) factorization is a fundamental problem in string
processing: Greedily partition a given string $T$ from left to right into
blocks (called phrases) so that each phrase is either the leftmost occurrence
of a letter or the longest prefix of the unprocessed suffix that has another
occurrence earlier in $T$. Due to numerous applications, LZ77 factorization is
one of the most studied problems on strings. In the 47 years since its
inception, several algorithms were developed for different models of
computation, including parallel, GPU, external-memory, and quantum. Remarkably,
however, the complexity of the most basic variant is still not settled: All
existing algorithms in the RAM model run in $\Omega(n)$ time, which is a
$\Theta(\log n)$ factor away from the lower bound of $\Omega(n/\log n)$
(following from the necessity to read the input, which takes $\Theta(n/\log n)$
space for $T\in\{0,1\}^{n}$).
  We present the first $o(n)$-time algorithm for LZ77 factorization, breaking
the linear-time barrier present for nearly 50 years. For $T\in\{0,1\}^{n}$, our
algorithm runs in $\mathcal{O}(n/\sqrt{\log n})=o(n)$ time and uses the optimal
$\mathcal{O}(n/\log n)$ working space. Our algorithm generalizes to
$\Sigma=[0..\sigma)$, where $\sigma=n^{\mathcal{O}(1)}$. The runtime and
working space then become $\mathcal{O}((n\log\sigma)/\sqrt{\log n})$ and
$\mathcal{O}(n/\log_{\sigma} n)$. To obtain our algorithm, we prove a more
general result: For any constant $\epsilon\in(0,1)$ and $T\in[0..\sigma)^{n}$,
in $\mathcal{O}((n\log\sigma)/\sqrt{\log n})$ time and using
$\mathcal{O}(n/\log_{\sigma}n)$ space, we can construct an
$\mathcal{O}(n/\log_{\sigma}n)$-size index that, given any $P=T[j..j+\ell)$
(represented as $(j,\ell)$), computes the leftmost occurrence of $P$ in $T$ in
$\mathcal{O}(\log^{\epsilon}n)$ time. In other words, we solve the
indexing/online variant of the LZ77 problem.",http://arxiv.org/pdf/2409.12146v1,http://arxiv.org/abs/2409.12146v1
Experimental Evidence That Conversational Artificial Intelligence Can Steer Consumer Behavior Without Detection,"Conversational AI models are becoming increasingly popular and are about to
replace traditional search engines for information retrieval and product
discovery. This raises concerns about monetization strategies and the potential
for subtle consumer manipulation. Companies may have financial incentives to
steer users toward search results or products in a conversation in ways that
are unnoticeable to consumers. Using a behavioral experiment, we show that
conversational AI models can indeed significantly shift consumer preferences.
We discuss implications and ask whether regulators are sufficiently prepared to
combat potential consumer deception.",http://arxiv.org/pdf/2409.12143v1,http://arxiv.org/abs/2409.12143v1
Investigating the effects of precise mass measurements of Ru and Pd isotopes on machine learning mass modeling,"Atomic masses are a foundational quantity in our understanding of nuclear
structure, astrophysics and fundamental symmetries. The long-standing goal of
creating a predictive global model for the binding energy of a nucleus remains
a significant challenge, however, and prompts the need for precise measurements
of atomic masses to serve as anchor points for model developments. We present
precise mass measurements of neutron-rich Ru and Pd isotopes performed at the
Californium Rare Isotope Breeder Upgrade facility at Argonne National
Laboratory using the Canadian Penning Trap mass spectrometer. The masses of
$^{108}$Ru, $^{110}$Ru and $^{116}$Pd were measured to a relative mass
precision $\delta m/m \approx 10^{-8}$ via the phase-imaging
ion-cyclotron-resonance technique, and represent an improvement of
approximately an order of magnitude over previous measurements. These mass data
were used in conjunction with the physically interpretable machine learning
(PIML) model, which uses a mixture density neural network to model mass
excesses via a mixture of Gaussian distributions. The effects of our new mass
data on a Bayesian-updating of a PIML model are presented.",http://arxiv.org/pdf/2409.12141v1,http://arxiv.org/abs/2409.12141v1
MoRAG -- Multi-Fusion Retrieval Augmented Generation for Human Motion,"We introduce MoRAG, a novel multi-part fusion based retrieval-augmented
generation strategy for text-based human motion generation. The method enhances
motion diffusion models by leveraging additional knowledge obtained through an
improved motion retrieval process. By effectively prompting large language
models (LLMs), we address spelling errors and rephrasing issues in motion
retrieval. Our approach utilizes a multi-part retrieval strategy to improve the
generalizability of motion retrieval across the language space. We create
diverse samples through the spatial composition of the retrieved motions.
Furthermore, by utilizing low-level, part-specific motion information, we can
construct motion samples for unseen text descriptions. Our experiments
demonstrate that our framework can serve as a plug-and-play module, improving
the performance of motion diffusion models. Code, pretrained models and sample
videos will be made available at: https://motion-rag.github.io/",http://arxiv.org/pdf/2409.12140v1,http://arxiv.org/abs/2409.12140v1
Takin: A Cohort of Superior Quality Zero-shot Speech Generation Models,"With the advent of the big data and large language model era, zero-shot
personalized rapid customization has emerged as a significant trend. In this
report, we introduce Takin AudioLLM, a series of techniques and models, mainly
including Takin TTS, Takin VC, and Takin Morphing, specifically designed for
audiobook production. These models are capable of zero-shot speech production,
generating high-quality speech that is nearly indistinguishable from real human
speech and facilitating individuals to customize the speech content according
to their own needs. Specifically, we first introduce Takin TTS, a neural codec
language model that builds upon an enhanced neural speech codec and a
multi-task training framework, capable of generating high-fidelity natural
speech in a zero-shot way. For Takin VC, we advocate an effective content and
timbre joint modeling approach to improve the speaker similarity, while
advocating for a conditional flow matching based decoder to further enhance its
naturalness and expressiveness. Last, we propose the Takin Morphing system with
highly decoupled and advanced timbre and prosody modeling approaches, which
enables individuals to customize speech production with their preferred timbre
and prosody in a precise and controllable manner. Extensive experiments
validate the effectiveness and robustness of our Takin AudioLLM series models.
For detailed demos, please refer to https://takinaudiollm.github.io.",http://arxiv.org/pdf/2409.12139v1,http://arxiv.org/abs/2409.12139v1
GRIN: GRadient-INformed MoE,"Mixture-of-Experts (MoE) models scale more effectively than dense models due
to sparse computation through expert routing, selectively activating only a
small subset of expert modules. However, sparse computation challenges
traditional training practices, as discrete expert routing hinders standard
backpropagation and thus gradient-based optimization, which are the cornerstone
of deep learning. To better pursue the scaling power of MoE, we introduce GRIN
(GRadient-INformed MoE training), which incorporates sparse gradient estimation
for expert routing and configures model parallelism to avoid token dropping.
Applying GRIN to autoregressive language modeling, we develop a top-2
16$\times$3.8B MoE model. Our model, with only 6.6B activated parameters,
outperforms a 7B dense model and matches the performance of a 14B dense model
trained on the same data. Extensive evaluations across diverse tasks
demonstrate the potential of GRIN to significantly enhance MoE efficacy,
achieving 79.4 on MMLU, 83.7 on HellaSwag, 74.4 on HumanEval, and 58.9 on MATH.",http://arxiv.org/pdf/2409.12136v1,http://arxiv.org/abs/2409.12136v1
